score,member,similarity_score,audience,pc1,pc2,pc3
0.30259570479393005,AUD0_0035,0.953957200050354,Audience 0,-0.0011021282989531755,-0.009581789374351501,0.0028362073935568333
0.3027537763118744,AUD0_0036,0.9539017677307129,Audience 0,-0.0012118947925046086,-0.010010628961026669,0.0010317511623725295
0.30217692255973816,AUD0_0037,0.9540947675704956,Audience 0,-0.0007034316658973694,-0.009686515666544437,0.004048505332320929
0.302089124917984,AUD0_0038,0.9541479349136353,Audience 0,-0.0006257522036321461,-0.009184109047055244,0.00421667005866766
0.3051450550556183,AUD0_0039,0.9530613422393799,Audience 0,-0.003616881789639592,-0.013284491375088692,0.01203810703009367
0.30508774518966675,AUD0_0040,0.9532213807106018,Audience 0,-0.0034922994673252106,-0.015074540860950947,0.0046687680296599865
0.3034144341945648,AUD0_0041,0.9537327289581299,Audience 0,-0.001829135580919683,-0.012575575150549412,0.0014379717176780105
0.303754597902298,AUD0_0042,0.9535982608795166,Audience 0,-0.0022236588411033154,-0.011843995191156864,0.0031177562195807695
0.3041481673717499,AUD0_0043,0.953454315662384,Audience 0,-0.002574249403551221,-0.014268743805587292,0.004408485721796751
0.3039631247520447,AUD0_0044,0.9533366560935974,Audience 0,-0.002279198495671153,-0.015115519985556602,0.0005050411564297974
0.30326464772224426,AUD0_0045,0.9537572860717773,Audience 0,-0.0016138645587489009,-0.013381889089941978,-0.0001758508587954566
0.303716778755188,AUD0_0046,0.9536312222480774,Audience 0,-0.0019538565538823605,-0.015392560511827469,-0.0017110271146520972
0.30418840050697327,AUD0_0047,0.953529953956604,Audience 0,-0.002600177889689803,-0.013682044111192226,0.002609852934256196
0.30381372570991516,AUD0_0048,0.9536088705062866,Audience 0,-0.002223050454631448,-0.013487156480550766,0.00224471976980567
0.30466026067733765,AUD0_0049,0.9533035755157471,Audience 0,-0.0031572512816637754,-0.012947211042046547,0.008942614309489727
0.303147554397583,AUD0_0050,0.9538711905479431,Audience 0,-0.0016256566159427166,-0.011863813735544682,0.003655459266155958
0.3026665449142456,AUD0_0051,0.9540387392044067,Audience 0,-0.0011088072787970304,-0.01001384574919939,0.0004465387319214642
0.3026476204395294,AUD0_0052,0.954016923904419,Audience 0,-0.0011513341451063752,-0.008977542631328106,0.0022895827423781157
0.3038545846939087,AUD0_0053,0.9536745548248291,Audience 0,-0.002305501839146018,-0.012354057282209396,0.002804464427754283
0.30302613973617554,AUD0_0054,0.9539265632629395,Audience 0,-0.0013679248513653874,-0.011963323689997196,-0.0015303232939913869
0.30305179953575134,AUD0_0055,0.9538524150848389,Audience 0,-0.0014695003628730774,-0.010490290820598602,-0.00012076779239578173
0.3036539554595947,AUD0_0056,0.9537480473518372,Audience 0,-0.0019675891380757093,-0.01146317645907402,-0.0026337155140936375
0.3034237325191498,AUD0_0057,0.9538106918334961,Audience 0,-0.0018718558130785823,-0.011173531413078308,0.0014886537101119757
0.30331650376319885,AUD0_0058,0.9538678526878357,Audience 0,-0.0017787979450076818,-0.01125116366893053,0.002169214654713869
0.3051247298717499,AUD0_0059,0.9532538056373596,Audience 0,-0.003660242771729827,-0.011287515051662922,0.008169472217559814
0.304471492767334,AUD0_0060,0.9534536004066467,Audience 0,-0.0029023000970482826,-0.013048293069005013,0.0026720778550952673
0.30268973112106323,AUD0_0061,0.9539841413497925,Audience 0,-0.0010835399152711034,-0.011282441206276417,-0.00038637136458419263
0.3031541407108307,AUD0_0062,0.9537432193756104,Audience 0,-0.0016210307367146015,-0.009971731342375278,0.0013454803265631199
0.3039279282093048,AUD0_0063,0.9535146951675415,Audience 0,-0.0023019115906208754,-0.014870109036564827,0.0025616735219955444
